Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Mouse	2021-09-07 09:06:17.909620	2021-09-07 09:06:55.481432	37.571812	Morning
Mouse	2021-09-07 09:07:35.956389	2021-09-07 09:33:26.559285	1550.602896	Morning
Mouse	2021-09-07 09:33:28.236914	2021-09-07 09:33:36.468819	8.231905	Morning
Mouse	2021-09-07 09:34:23.128908	2021-09-07 09:34:30.022997	6.894089	Morning
Mouse	2021-09-07 09:34:35.972812	2021-09-07 09:34:44.226189	8.253377	Morning
Keyboard	2021-09-07 08:50:24.998090	2021-09-07 09:35:29.549459	2704.551369	Morning
Mouse	2021-09-07 09:35:27.831797	2021-09-07 09:35:35.225854	7.394057	Morning
Keyboard	2021-09-07 09:35:33.909533	2021-09-07 09:36:02.921347	29.011814	Morning
Mouse	2021-09-07 09:36:11.393461	2021-09-07 09:36:18.276811	6.88335	Morning
Mouse	2021-09-07 09:36:21.768773	2021-09-07 09:36:27.322129	5.553356	Morning
Mouse	2021-09-07 09:37:10.800333	2021-09-07 09:37:26.405778	15.605445	Morning
Mouse	2021-09-07 09:37:31.488508	2021-09-07 09:37:38.974319	7.485811	Morning
Keyboard	2021-09-07 09:36:12.176615	2021-09-07 09:38:13.369569	121.192954	Morning
Keyboard	2021-09-07 09:38:30.820599	2021-09-07 09:38:40.184257	9.363658	Morning
Mouse	2021-09-07 09:38:37.847494	2021-09-07 09:38:44.712289	6.864795	Morning
Keyboard	2021-09-07 09:38:43.941845	2021-09-07 09:38:52.011625	8.06978	Morning
Mouse	2021-09-07 09:39:37.768465	2021-09-07 09:39:56.292683	18.524218	Morning
Keyboard	2021-09-07 09:38:52.488158	2021-09-07 09:40:18.179940	85.691782	Morning
Mouse	2021-09-07 09:40:16.533559	2021-09-07 09:40:29.696783	13.163224	Morning
Keyboard	2021-09-07 09:40:26.888365	2021-09-07 09:40:53.050756	26.162391	Morning
Mouse	2021-09-07 09:40:51.957075	2021-09-07 09:41:03.417278	11.460203	Morning
Keyboard	2021-09-07 09:41:01.227026	2021-09-07 09:42:36.612484	95.385458	Morning
Mouse	2021-09-07 09:42:32.190894	2021-09-07 09:42:43.725311	11.534417	Morning
Mouse	2021-09-07 09:43:45.502608	2021-09-07 09:43:52.440651	6.938043	Morning
Keyboard	2021-09-07 09:42:47.269032	2021-09-07 09:44:33.146043	105.877011	Morning
Mouse	2021-09-07 09:44:31.628563	2021-09-07 09:44:40.952192	9.323629	Morning
Mouse	2021-09-07 09:45:01.175499	2021-09-07 09:45:08.358645	7.183146	Morning
Keyboard	2021-09-07 09:44:45.401125	2021-09-07 09:46:30.610203	105.209078	Morning
Mouse	2021-09-07 09:47:20.223241	2021-09-07 09:47:26.405462	6.182221	Morning
Mouse	2021-09-07 09:48:21.550379	2021-09-07 09:48:28.089025	6.538646	Morning
Mouse	2021-09-07 09:48:31.347594	2021-09-07 09:48:47.803572	16.455978	Morning
Mouse	2021-09-07 09:48:51.112930	2021-09-07 09:49:01.029853	9.916923	Morning
Mouse	2021-09-07 09:49:26.065768	2021-09-07 09:49:36.451818	10.38605	Morning
Mouse	2021-09-07 09:49:41.284532	2021-09-07 09:49:46.362318	5.077786	Morning
Mouse	2021-09-07 09:50:28.722889	2021-09-07 09:50:34.265515	5.542626	Morning
Keyboard	2021-09-07 09:46:34.234972	2021-09-07 09:50:52.029988	257.795016	Morning
Mouse	2021-09-07 09:50:51.190199	2021-09-07 09:51:12.195690	21.005491	Morning
Mouse	2021-09-07 09:51:51.488101	2021-09-07 09:51:59.637967	8.149866	Morning
Mouse	2021-09-07 09:57:27.754671	2021-09-07 09:57:35.664311	7.90964	Morning
Mouse	2021-09-07 09:57:45.846324	2021-09-07 09:59:10.961723	85.115399	Morning
Mouse	2021-09-07 09:59:12.081768	2021-09-07 10:01:08.161253	116.079485	Morning
Mouse	2021-09-07 10:01:08.207148	2021-09-07 10:03:31.726769	143.519621	Morning
Mouse	2021-09-07 10:03:40.736935	2021-09-07 10:03:50.139686	9.402751	Morning
Mouse	2021-09-07 10:04:00.174201	2021-09-07 10:04:21.818473	21.644272	Morning
Mouse	2021-09-07 10:04:31.939928	2021-09-07 10:05:14.508611	42.568683	Morning
Mouse	2021-09-07 10:05:43.394604	2021-09-07 10:05:50.825767	7.431163	Morning
Mouse	2021-09-07 10:05:58.456139	2021-09-07 10:06:16.516506	18.060367	Morning
Mouse	2021-09-07 10:06:20.908803	2021-09-07 10:08:14.084179	113.175376	Morning
Mouse	2021-09-07 10:08:18.738177	2021-09-07 10:12:54.156419	275.418242	Morning
Mouse	2021-09-07 10:12:57.113262	2021-09-07 10:13:03.791595	6.678333	Morning
Mouse	2021-09-07 10:13:25.034351	2021-09-07 10:13:30.709747	5.675396	Morning
Mouse	2021-09-07 10:13:32.393230	2021-09-07 10:13:38.354789	5.961559	Morning
Mouse	2021-09-07 10:13:58.551712	2021-09-07 10:14:09.722884	11.171172	Morning
Mouse	2021-09-07 10:14:51.612815	2021-09-07 10:17:02.398343	130.785528	Morning
Keyboard	2021-09-07 09:51:10.956516	2021-09-07 10:17:28.419137	1577.462621	Morning
Keyboard	2021-09-07 10:17:58.637906	2021-09-07 10:18:05.603600	6.965694	Morning
Keyboard	2021-09-07 10:18:06.304729	2021-09-07 10:18:12.890244	6.585515	Morning
Mouse	2021-09-07 10:18:46.393812	2021-09-07 10:30:59.037759	732.643947	Morning
Keyboard	2021-09-07 10:18:27.948900	2021-09-07 10:31:02.973061	755.024161	Morning
Mouse	2021-09-07 10:31:07.846795	2021-09-07 10:31:22.808704	14.961909	Morning
Mouse	2021-09-07 10:31:39.019577	2021-09-07 10:31:47.666483	8.646906	Morning
Keyboard	2021-09-07 10:31:05.502190	2021-09-07 10:32:06.727763	61.225573	Morning
Keyboard	2021-09-07 10:32:12.331899	2021-09-07 10:32:17.938019	5.60612	Morning
Mouse	2021-09-07 10:32:06.816626	2021-09-07 10:32:18.454552	11.637926	Morning
Keyboard	2021-09-07 10:32:20.136086	2021-09-07 10:34:27.212911	127.076825	Morning
Keyboard	2021-09-07 10:34:59.104425	2021-09-07 10:35:15.963698	16.859273	Morning
Mouse	2021-09-07 10:35:21.456511	2021-09-07 10:35:26.665162	5.208651	Morning
Mouse	2021-09-07 10:36:32.722459	2021-09-07 10:36:41.943548	9.221089	Morning
Keyboard	2021-09-07 10:35:26.155431	2021-09-07 10:37:45.563498	139.408067	Morning
Mouse	2021-09-07 10:38:59.269719	2021-09-07 10:39:06.459687	7.189968	Morning
Mouse	2021-09-07 10:40:02.691628	2021-09-07 10:40:10.511440	7.819812	Morning
Keyboard	2021-09-07 10:37:46.166974	2021-09-07 10:41:02.369446	196.202472	Morning
Keyboard	2021-09-07 10:41:03.787327	2021-09-07 10:41:25.553519	21.766192	Morning
Mouse	2021-09-07 10:41:30.986757	2021-09-07 10:42:00.289568	29.302811	Morning
Keyboard	2021-09-07 10:42:04.052025	2021-09-07 10:42:20.286337	16.234312	Morning
Mouse	2021-09-07 10:42:27.737030	2021-09-07 10:42:35.812686	8.075656	Morning
Keyboard	2021-09-07 10:42:30.787617	2021-09-07 10:43:51.546154	80.758537	Morning
Keyboard	2021-09-07 10:43:52.989397	2021-09-07 10:44:04.487674	11.498277	Morning
Keyboard	2021-09-07 10:44:10.760713	2021-09-07 10:44:19.976965	9.216252	Morning
Mouse	2021-09-07 10:44:19.627377	2021-09-07 10:44:25.100614	5.473237	Morning
Keyboard	2021-09-07 10:44:24.721730	2021-09-07 10:44:31.256518	6.534788	Morning
Keyboard	2021-09-07 10:44:34.912486	2021-09-07 10:44:49.637165	14.724679	Morning
Keyboard	2021-09-07 10:45:03.497569	2021-09-07 10:45:29.497857	26.000288	Morning
Keyboard	2021-09-07 10:45:34.192871	2021-09-07 10:46:26.226648	52.033777	Morning
Keyboard	2021-09-07 10:46:30.616018	2021-09-07 10:46:37.906603	7.290585	Morning
Mouse	2021-09-07 10:48:38.378346	2021-09-07 10:48:43.932679	5.554333	Morning
Mouse	2021-09-07 10:50:03.706890	2021-09-07 10:50:10.709353	7.002463	Morning
Mouse	2021-09-07 10:50:16.252988	2021-09-07 10:50:23.391157	7.138169	Morning
Mouse	2021-09-07 10:52:56.055259	2021-09-07 10:53:04.105481	8.050222	Morning
Keyboard	2021-09-07 10:46:40.273604	2021-09-07 10:53:09.054382	388.780778	Morning
Keyboard	2021-09-07 10:53:21.348518	2021-09-07 10:53:38.781970	17.433452	Morning
Mouse	2021-09-07 10:53:37.737126	2021-09-07 10:53:46.753142	9.016016	Morning
Keyboard	2021-09-07 10:53:43.507256	2021-09-07 10:53:50.056640	6.549384	Morning
Mouse	2021-09-07 10:53:49.441447	2021-09-07 10:54:03.516718	14.075271	Morning
Keyboard	2021-09-07 10:53:55.971301	2021-09-07 10:54:05.480507	9.509206	Morning
Mouse	2021-09-07 10:54:03.550941	2021-09-07 10:54:17.035384	13.484443	Morning
Mouse	2021-09-07 10:54:17.863458	2021-09-07 10:54:27.822779	9.959321	Morning
Mouse	2021-09-07 10:54:33.534325	2021-09-07 10:54:41.445343	7.911018	Morning
Keyboard	2021-09-07 10:54:42.892711	2021-09-07 10:54:53.981274	11.088563	Morning
Keyboard	2021-09-07 10:54:55.573949	2021-09-07 10:55:03.874196	8.300247	Morning
Mouse	2021-09-07 10:55:01.800109	2021-09-07 10:55:09.663865	7.863756	Morning
Keyboard	2021-09-07 10:55:09.389468	2021-09-07 10:55:21.907221	12.517753	Morning
Keyboard	2021-09-07 10:55:23.412009	2021-09-07 10:55:42.270177	18.858168	Morning
Mouse	2021-09-07 10:55:41.456752	2021-09-07 10:55:50.417397	8.960645	Morning
Mouse	2021-09-07 10:56:30.175889	2021-09-07 10:56:36.762366	6.586477	Morning
Mouse	2021-09-07 10:58:22.925198	2021-09-07 11:03:06.036797	283.111599	Afternoon
Keyboard	2021-09-07 10:55:44.217050	2021-09-07 11:03:19.673618	455.456568	Afternoon
Mouse	2021-09-07 11:03:19.065262	2021-09-07 11:03:38.809113	19.743851	Afternoon
Mouse	2021-09-07 11:03:44.144710	2021-09-07 11:03:49.158059	5.013349	Afternoon
Mouse	2021-09-07 11:03:59.832219	2021-09-07 11:04:38.685164	38.852945	Afternoon
Mouse	2021-09-07 11:04:40.846157	2021-09-07 11:04:51.850350	11.004193	Afternoon
Keyboard	2021-09-07 11:03:37.943954	2021-09-07 11:04:55.387220	77.443266	Afternoon
Mouse	2021-09-07 11:04:55.144072	2021-09-07 11:05:02.616248	7.472176	Afternoon
Mouse	2021-09-07 11:05:25.269096	2021-09-07 11:05:30.418200	5.149104	Afternoon
Keyboard	2021-09-07 11:04:59.701398	2021-09-07 11:05:30.958186	31.256788	Afternoon
Keyboard	2021-09-07 11:05:33.059649	2021-09-07 11:09:57.340954	264.281305	Afternoon
Mouse	2021-09-07 11:11:10.065686	2021-09-07 11:11:16.889420	6.823734	Afternoon
Keyboard	2021-09-07 11:09:57.842876	2021-09-07 11:11:47.397234	109.554358	Afternoon
Mouse	2021-09-07 11:11:46.378745	2021-09-07 11:11:51.806131	5.427386	Afternoon
Mouse	2021-09-07 11:11:55.784392	2021-09-07 11:12:00.997929	5.213537	Afternoon
Mouse	2021-09-07 11:13:01.378826	2021-09-07 11:14:33.448361	92.069535	Afternoon
Keyboard	2021-09-07 11:11:52.421325	2021-09-07 11:14:56.234987	183.813662	Afternoon
Mouse	2021-09-07 11:16:12.722317	2021-09-07 11:16:25.434393	12.712076	Afternoon
Mouse	2021-09-07 11:16:25.737073	2021-09-07 11:16:37.314456	11.577383	Afternoon
Keyboard	2021-09-07 11:15:00.921215	2021-09-07 11:17:08.811464	127.890249	Afternoon
Keyboard	2021-09-07 11:17:09.434470	2021-09-07 11:17:14.764208	5.329738	Afternoon
Keyboard	2021-09-07 11:17:16.733809	2021-09-07 11:17:23.395500	6.661691	Afternoon
Keyboard	2021-09-07 11:17:24.219658	2021-09-07 11:17:41.610146	17.390488	Afternoon
Keyboard	2021-09-07 11:17:44.176389	2021-09-07 11:18:48.404746	64.228357	Afternoon
Keyboard	2021-09-07 11:18:49.370460	2021-09-07 11:18:57.234212	7.863752	Afternoon
Keyboard	2021-09-07 11:19:00.598256	2021-09-07 11:19:22.867338	22.269082	Afternoon
Mouse	2021-09-07 11:19:26.753843	2021-09-07 11:19:32.664561	5.910718	Afternoon
Mouse	2021-09-07 11:20:47.518170	2021-09-07 11:20:52.606710	5.08854	Afternoon
Mouse	2021-09-07 11:21:01.487061	2021-09-07 11:21:09.144714	7.657653	Afternoon
Mouse	2021-09-07 11:22:31.191257	2021-09-07 11:22:36.350071	5.158814	Afternoon
Keyboard	2021-09-07 11:19:34.036547	2021-09-07 11:24:57.476782	323.440235	Afternoon
Keyboard	2021-09-07 11:25:00.170944	2021-09-07 11:25:19.690370	19.519426	Afternoon
Keyboard	2021-09-07 11:25:19.860279	2021-09-07 11:25:46.043220	26.182941	Afternoon
Mouse	2021-09-07 11:25:57.550285	2021-09-07 11:26:03.012828	5.462543	Afternoon
Keyboard	2021-09-07 11:25:56.539574	2021-09-07 11:26:41.037702	44.498128	Afternoon
Keyboard	2021-09-07 11:26:58.035639	2021-09-07 11:27:03.556768	5.521129	Afternoon
Mouse	2021-09-07 11:26:40.080731	2021-09-07 11:27:16.748308	36.667577	Afternoon
Mouse	2021-09-07 11:29:21.847513	2021-09-07 11:29:28.684965	6.837452	Afternoon
Mouse	2021-09-07 11:30:25.330751	2021-09-07 11:30:40.216520	14.885769	Afternoon
Mouse	2021-09-07 11:30:45.628328	2021-09-07 11:30:51.578098	5.94977	Afternoon
Keyboard	2021-09-07 11:27:15.886057	2021-09-07 11:30:55.795598	219.909541	Afternoon
Mouse	2021-09-07 11:31:12.519137	2021-09-07 11:31:55.172948	42.653811	Afternoon
Keyboard	2021-09-07 11:30:56.941035	2021-09-07 11:32:29.005710	92.064675	Afternoon
Keyboard	2021-09-07 11:32:30.522215	2021-09-07 11:32:59.882640	29.360425	Afternoon
Keyboard	2021-09-07 11:33:02.802376	2021-09-07 11:33:14.397336	11.59496	Afternoon
Mouse	2021-09-07 11:33:13.721598	2021-09-07 11:33:22.203477	8.481879	Afternoon
Mouse	2021-09-07 11:37:37.519481	2021-09-07 11:37:45.068803	7.549322	Afternoon
Mouse	2021-09-07 11:38:22.377491	2021-09-07 11:38:30.863277	8.485786	Afternoon
Keyboard	2021-09-07 11:33:28.512643	2021-09-07 11:39:09.466321	340.953678	Afternoon
Mouse	2021-09-07 11:39:08.706557	2021-09-07 11:39:22.087550	13.380993	Afternoon
Keyboard	2021-09-07 11:39:23.065991	2021-09-07 11:39:34.125830	11.059839	Afternoon
Keyboard	2021-09-07 11:39:40.642990	2021-09-07 11:39:54.313013	13.670023	Afternoon
Keyboard	2021-09-07 11:39:59.131074	2021-09-07 11:40:18.401316	19.270242	Afternoon
Mouse	2021-09-07 11:40:17.661130	2021-09-07 11:40:30.362465	12.701335	Afternoon
Keyboard	2021-09-07 11:40:30.176944	2021-09-07 11:40:39.004491	8.827547	Afternoon
Keyboard	2021-09-07 11:40:41.242629	2021-09-07 11:40:49.972549	8.72992	Afternoon
Keyboard	2021-09-07 11:40:55.893057	2021-09-07 11:41:02.724651	6.831594	Afternoon
Keyboard	2021-09-07 11:41:08.161805	2021-09-07 11:41:30.008062	21.846257	Afternoon
Keyboard	2021-09-07 11:41:30.467994	2021-09-07 11:41:41.714343	11.246349	Afternoon
Mouse	2021-09-07 11:41:50.472617	2021-09-07 11:42:00.622311	10.148718	Afternoon
Keyboard	2021-09-07 11:41:50.002874	2021-09-07 11:42:01.528503	11.525629	Afternoon
Keyboard	2021-09-07 11:42:03.066493	2021-09-07 11:42:23.472667	20.406174	Afternoon
Mouse	2021-09-07 11:42:30.924338	2021-09-07 11:42:37.027461	6.103123	Afternoon
Keyboard	2021-09-07 11:42:24.342729	2021-09-07 11:42:42.778071	18.435342	Afternoon
Mouse	2021-09-07 11:43:05.097001	2021-09-07 11:43:12.433399	7.336398	Afternoon
Mouse	2021-09-07 11:44:13.410292	2021-09-07 11:44:20.719394	7.309102	Afternoon
Mouse	2021-09-07 11:44:24.143001	2021-09-07 11:44:42.963087	18.820086	Afternoon
Mouse	2021-09-07 11:44:45.207084	2021-09-07 11:49:36.382784	291.1757	Afternoon
Mouse	2021-09-07 11:49:42.658749	2021-09-07 11:50:06.976147	24.317398	Afternoon
Mouse	2021-09-07 11:50:26.331372	2021-09-07 11:50:31.969698	5.638326	Afternoon
Mouse	2021-09-07 11:50:35.502644	2021-09-07 11:50:59.923931	24.421287	Afternoon
Mouse	2021-09-07 11:51:48.753813	2021-09-07 11:51:54.039606	5.285793	Afternoon
Mouse	2021-09-07 11:51:56.425197	2021-09-07 11:52:13.746353	17.321156	Afternoon
Mouse	2021-09-07 11:52:26.018029	2021-09-07 11:54:00.207316	94.189287	Afternoon
Mouse	2021-09-07 11:54:06.847513	2021-09-07 11:54:14.571628	7.724115	Afternoon
Keyboard	2021-09-07 11:42:43.986001	2021-09-07 11:55:23.140480	759.154479	Afternoon
Keyboard	2021-09-07 11:55:25.248745	2021-09-07 11:55:43.561049	18.312304	Afternoon
Keyboard	2021-09-07 11:55:44.337368	2021-09-07 11:55:55.628637	11.291269	Afternoon
Keyboard	2021-09-07 11:55:56.378590	2021-09-07 11:56:12.693950	16.31536	Afternoon
Mouse	2021-09-07 11:56:56.143317	2021-09-07 11:57:22.497101	26.353784	Afternoon
Mouse	2021-09-07 11:57:39.378833	2021-09-07 11:57:54.622973	15.24414	Afternoon
Keyboard	2021-09-07 11:56:14.539536	2021-09-07 11:58:22.271596	127.73206	Afternoon
Keyboard	2021-09-07 11:58:23.271540	2021-09-07 11:58:39.659152	16.387612	Afternoon
Mouse	2021-09-07 11:58:36.159376	2021-09-07 11:58:50.619395	14.460019	Afternoon
Keyboard	2021-09-07 11:58:54.098661	2021-09-07 11:59:02.665494	8.566833	Afternoon
Keyboard	2021-09-07 11:59:05.016907	2021-09-07 11:59:21.618381	16.601474	Afternoon
Mouse	2021-09-07 11:59:41.988220	2021-09-07 11:59:57.288954	15.300734	Afternoon
Mouse	2021-09-07 12:00:02.222341	2021-09-07 12:00:33.116692	30.894351	Afternoon
Keyboard	2021-09-07 11:59:25.787060	2021-09-07 12:00:40.732418	74.945358	Afternoon
Keyboard	2021-09-07 12:00:42.084871	2021-09-07 12:00:52.985536	10.900665	Afternoon
Mouse	2021-09-07 12:01:18.018115	2021-09-07 12:01:25.527399	7.509284	Afternoon
Keyboard	2021-09-07 12:00:53.334149	2021-09-07 12:01:39.496276	46.162127	Afternoon
Mouse	2021-09-07 12:01:38.644726	2021-09-07 12:02:07.089192	28.444466	Afternoon
Mouse	2021-09-07 12:02:41.471760	2021-09-07 12:02:51.653962	10.182202	Afternoon
Mouse	2021-09-07 12:02:53.238174	2021-09-07 12:02:59.180383	5.942209	Afternoon
Mouse	2021-09-07 12:03:21.362411	2021-09-07 12:03:31.147920	9.785509	Afternoon
Mouse	2021-09-07 12:03:47.675181	2021-09-07 12:04:13.227258	25.552077	Afternoon
Mouse	2021-09-07 12:04:25.518462	2021-09-07 12:04:35.199487	9.681025	Afternoon
Keyboard	2021-09-07 12:02:06.282643	2021-09-07 12:04:41.582865	155.300222	Afternoon
Mouse	2021-09-07 12:04:39.222666	2021-09-07 12:04:44.939112	5.716446	Afternoon
Keyboard	2021-09-07 12:04:44.498693	2021-09-07 12:04:50.179971	5.681278	Afternoon
Keyboard	2021-09-07 12:04:52.472793	2021-09-07 12:05:20.836210	28.363417	Afternoon
Keyboard	2021-09-07 12:05:24.268617	2021-09-07 12:05:42.179571	17.910954	Afternoon
Keyboard	2021-09-07 12:05:46.643153	2021-09-07 12:05:57.165916	10.522763	Afternoon
Keyboard	2021-09-07 12:05:58.705856	2021-09-07 12:06:21.629212	22.923356	Afternoon
Keyboard	2021-09-07 12:06:22.692604	2021-09-07 12:06:28.891424	6.19882	Afternoon
Mouse	2021-09-07 12:06:24.424914	2021-09-07 12:06:29.704850	5.279936	Afternoon
Mouse	2021-09-07 12:06:32.550371	2021-09-07 12:06:38.814618	6.264247	Afternoon
Mouse	2021-09-07 12:06:43.846522	2021-09-07 12:06:50.679094	6.832572	Afternoon
Keyboard	2021-09-07 12:06:34.650821	2021-09-07 12:06:54.163246	19.512425	Afternoon
Keyboard	2021-09-07 12:06:54.657353	2021-09-07 12:07:11.767588	17.110235	Afternoon
Keyboard	2021-09-07 12:07:12.477504	2021-09-07 12:08:18.500619	66.023115	Afternoon
Mouse	2021-09-07 12:07:41.065550	2021-09-07 12:08:25.560720	44.49517	Afternoon
Keyboard	2021-09-07 12:08:23.453428	2021-09-07 12:08:28.721647	5.268219	Afternoon
Keyboard	2021-09-07 12:08:29.414960	2021-09-07 12:08:34.516196	5.101236	Afternoon
Mouse	2021-09-07 12:08:57.035265	2021-09-07 12:09:03.665727	6.630462	Afternoon
Keyboard	2021-09-07 12:08:37.187902	2021-09-07 12:09:22.160624	44.972722	Afternoon
Mouse	2021-09-07 12:09:17.440216	2021-09-07 12:09:23.735703	6.295487	Afternoon
Keyboard	2021-09-07 12:09:23.346080	2021-09-07 12:09:31.128785	7.782705	Afternoon
Keyboard	2021-09-07 12:09:34.915650	2021-09-07 12:09:57.753056	22.837406	Afternoon
Mouse	2021-09-07 12:09:56.628130	2021-09-07 12:10:09.692725	13.064595	Afternoon
Keyboard	2021-09-07 12:10:09.170294	2021-09-07 12:10:22.881382	13.711088	Afternoon
Keyboard	2021-09-07 12:10:24.382257	2021-09-07 12:10:45.753892	21.371635	Afternoon
Mouse	2021-09-07 12:10:47.799657	2021-09-07 12:10:52.884295	5.084638	Afternoon
Mouse	2021-09-07 12:11:09.581468	2021-09-07 12:11:23.479016	13.897548	Afternoon
Keyboard	2021-09-07 12:10:52.158754	2021-09-07 12:11:45.867260	53.708506	Afternoon
Mouse	2021-09-07 12:12:06.097380	2021-09-07 12:12:16.044010	9.94663	Afternoon
Keyboard	2021-09-07 12:11:46.635748	2021-09-07 12:12:44.365441	57.729693	Afternoon
Keyboard	2021-09-07 12:12:44.385950	2021-09-07 12:13:44.843013	60.457063	Afternoon
Keyboard	2021-09-07 12:13:45.146712	2021-09-07 12:13:53.080769	7.934057	Afternoon
Keyboard	2021-09-07 12:13:53.461605	2021-09-07 12:14:03.426786	9.965181	Afternoon
Keyboard	2021-09-07 12:14:05.227451	2021-09-07 12:14:15.230766	10.003315	Afternoon
Mouse	2021-09-07 12:14:22.252744	2021-09-07 12:14:37.286926	15.034182	Afternoon
Keyboard	2021-09-07 12:14:18.741237	2021-09-07 12:15:57.262273	98.521036	Afternoon
Mouse	2021-09-07 12:16:13.674309	2021-09-07 12:16:19.632912	5.958603	Afternoon
Keyboard	2021-09-07 12:16:08.691230	2021-09-07 12:16:42.538718	33.847488	Afternoon
Keyboard	2021-09-07 12:16:43.251519	2021-09-07 12:16:54.633603	11.382084	Afternoon
Keyboard	2021-09-07 12:16:54.850385	2021-09-07 12:17:21.136787	26.286402	Afternoon
Mouse	2021-09-07 12:17:19.629073	2021-09-07 12:17:25.396285	5.767212	Afternoon
Keyboard	2021-09-07 12:17:22.454085	2021-09-07 12:17:28.231060	5.776975	Afternoon
Mouse	2021-09-07 12:17:26.019289	2021-09-07 12:17:33.091102	7.071813	Afternoon
Keyboard	2021-09-07 12:17:31.595103	2021-09-07 12:17:44.140197	12.545094	Afternoon
Mouse	2021-09-07 12:17:43.658783	2021-09-07 12:17:50.580215	6.921432	Afternoon
Mouse	2021-09-07 12:17:53.221648	2021-09-07 12:17:59.877509	6.655861	Afternoon
Keyboard	2021-09-07 12:17:59.028895	2021-09-07 12:18:37.406322	38.377427	Afternoon
Mouse	2021-09-07 12:18:37.364333	2021-09-07 12:18:47.482825	10.118492	Afternoon
Keyboard	2021-09-07 12:18:47.036566	2021-09-07 12:18:57.860088	10.823522	Afternoon
Mouse	2021-09-07 12:18:57.128692	2021-09-07 12:19:03.053116	5.924424	Afternoon
Keyboard	2021-09-07 12:19:02.573703	2021-09-07 12:19:47.452621	44.878918	Afternoon
Keyboard	2021-09-07 12:19:47.488751	2021-09-07 12:20:07.245903	19.757152	Afternoon
Keyboard	2021-09-07 12:20:07.261496	2021-09-07 12:20:29.067716	21.80622	Afternoon
Keyboard	2021-09-07 12:20:34.617166	2021-09-07 12:21:23.728279	49.111113	Afternoon
Keyboard	2021-09-07 12:21:25.044599	2021-09-07 12:21:33.257943	8.213344	Afternoon
Keyboard	2021-09-07 12:21:34.115312	2021-09-07 12:21:41.473253	7.357941	Afternoon
Mouse	2021-09-07 12:21:45.174170	2021-09-07 12:21:50.212911	5.038741	Afternoon
Keyboard	2021-09-07 12:21:49.462960	2021-09-07 12:22:19.360471	29.897511	Afternoon
Mouse	2021-09-07 12:23:20.378073	2021-09-07 12:23:27.851193	7.47312	Afternoon
Mouse	2021-09-07 12:23:55.831824	2021-09-07 12:24:02.763022	6.931198	Afternoon
